hypothesis,axis,cell,band_rows,snapshots,date_clusters,market_clusters,market_days,population_share,model_brier,market_brier,edge,ci_low,ci_high,standard_error,raw_p,raw_power_abs_effect,family_power_abs_effect,raw_80pct_mde,family_80pct_mde,lodo_positive_share,lomo_positive_share,valid_book_share,reward_window_share,holm_adjusted_p,support_ok,stability_ok,statistical_ok,skill_candidate,min_size_evidence,quotable_candidate,economic_all_scenarios_cleared_share,economic_zero_reward_scenarios_cleared_share
market_probability:0.50_to_0.75,market_probability,0.50_to_0.75,3543,3536,49,12,495,0.026209692333868426,0.32163367314903246,0.24162879014959074,-0.08000488299944171,-0.1407980776139603,-0.02431378257982276,0.029813839227735266,0.9963569985909297,0.8505110577533737,0.2575352903504562,0.07413136173547952,0.12450453971525102,0.0,0.0,1.0,0.668077900084674,1.0,True,False,False,False,ABSENT,False,,
market_probability:0.75_to_0.90,market_probability,0.75_to_0.90,497,497,49,12,314,0.0036766065735062397,0.2555595198366765,0.13267730533199196,-0.12288221450468456,-0.20050317933543074,-0.04753478700953826,0.03897507553152502,0.9991915506347442,0.9342211153396879,0.42794710152526505,0.0969105454961761,0.16276246082743362,0.0,0.0,1.0,0.47283702213279677,1.0,False,False,False,False,ABSENT,False,,
market_probability:0.90_to_0.98,market_probability,0.90_to_0.98,638,638,48,12,403,0.004719667995768574,0.16299150313365163,0.028316549373040754,-0.13467495376061087,-0.18587326294265888,-0.08738174847333957,0.02489958053828728,0.999999968262283,0.9999163481156367,0.9809733299606096,0.06191218104605359,0.1039822744847401,0.0,0.0,1.0,0.7978056426332288,1.0,False,False,False,False,ABSENT,False,,
market_probability:0.98_to_1,market_probability,0.98_to_1,3301,3301,50,12,523,0.024419473438921726,0.15939888187711554,1.9164344138139834e-05,-0.15937971753297742,-0.22732126268007397,-0.10036844663817396,0.03254485487086617,0.9999995140206723,0.9994277829764809,0.9409488037100813,0.08092196347582335,0.13590943939978561,0.0,0.0,1.0,1.0,1.0,True,False,False,False,ABSENT,False,,
signed_probability_gap:lt_-0.20,signed_probability_gap,lt_-0.20,7898,6897,49,12,520,0.05842623484416958,0.3477742392776501,0.18542624525196252,-0.16234799402568756,-0.21190589485373695,-0.11761973308925437,0.02400836462087103,0.9999999999932018,0.9999998450210291,0.9996956398926551,0.059696195072098904,0.10026049860954213,0.0,0.0,1.0,0.7943783236262345,1.0,True,False,False,False,ABSENT,False,,
signed_probability_gap:-0.20_to_-0.05,signed_probability_gap,-0.20_to_-0.05,9543,6756,49,12,523,0.07059528477056347,0.1602430159094598,0.14905393285654409,-0.011189083052915766,-0.017267895997897128,-0.005345782923214155,0.0030179624431310387,0.999895340552406,0.9804266806466473,0.6454450227762781,0.007504087744852086,0.012603208261430184,0.0,0.0,0.9998952111495337,0.7937755422823012,1.0,True,False,False,False,ABSENT,False,,
signed_probability_gap:-0.05_to_0.05,signed_probability_gap,-0.05_to_0.05,98266,12289,50,12,524,0.7269324377307126,0.010576150488411715,0.010430347383632183,-0.000145803104779532,-0.0002508048311742151,-5.602505467464292e-05,4.904375274326056e-05,0.998525088611967,0.907921745681801,0.35885348496864933,0.00012194605826189128,0.000204809914434897,0.0,0.0,0.3769462479392669,0.35964626625689455,1.0,True,False,False,False,ABSENT,False,,
signed_probability_gap:0.05_to_0.20,signed_probability_gap,0.05_to_0.20,13076,7485,49,12,521,0.0967310011170374,0.06705085826935568,0.05610396742122973,-0.010946890848125944,-0.013733878729531393,-0.007852513301495835,0.0014836486647060493,0.9999999999999198,0.9999999950811707,0.9999737168767181,0.0036890551066421657,0.006195813718836013,0.0,0.0,0.7619302539002754,0.6749005812174977,1.0,True,False,False,False,ABSENT,False,,
signed_probability_gap:gt_0.20,signed_probability_gap,gt_0.20,6396,5686,49,12,522,0.04731504153751692,0.24869921646976317,0.08574094820981866,-0.16295826825994456,-0.1955343282380671,-0.1309127775411261,0.01649638774472904,1.0,0.9999999999999999,0.9999999999700481,0.04101785341673134,0.06888999257804794,0.0,0.0,0.7887742338961851,0.623358348968105,1.0,True,False,False,False,ABSENT,False,,
hour_x_probability_gap:open_07_08|model_lower_10pp,hour_x_probability_gap,open_07_08|model_lower_10pp,6853,4347,49,12,515,0.05069574416144519,0.26862753564822844,0.20537350032832336,-0.06325403531990505,-0.09049935382455773,-0.03808037760126258,0.013315723288993074,0.9999989845584158,0.9990501252827554,0.9215950575182977,0.033109211207780376,0.05560733008613822,0.0,0.0,1.0,0.9381292864438932,1.0,True,False,False,False,ABSENT,False,,
