policy,city,ahead,hour_start,band_minutes,pulled_minutes,notional,pulled_notional,eligible_moves,large_moves,pulled_large_moves,t3_known_minutes,trade_rows,pulled_trade_rows,baseline_0_minutes,baseline_0_notional,baseline_0_large_moves,baseline_15_minutes,baseline_15_notional,baseline_15_large_moves,baseline_30_minutes,baseline_30_notional,baseline_30_large_moves,baseline_45_minutes,baseline_45_notional,baseline_45_large_moves,pulled_fraction,notional_fraction,large_move_fraction,t3_known_fraction,baseline_0_large_move_fraction,baseline_15_large_move_fraction,baseline_30_large_move_fraction,baseline_45_large_move_fraction,best_clock_large_move_fraction,lift_vs_best_clock
gfs_15,austin,2,18,131273.0,12540.0,21641.28502399741,2342.9223619984705,625.0,102.0,19.0,0.0,1703.0,180.0,12540.0,1698.7041619963088,7.0,12540.0,1514.4472759977004,13.0,12540.0,2523.581645997461,18.0,12540.0,2341.667755992616,12.0,0.0955261173280111,0.10826170254679747,0.18627450980392157,0.0,0.06862745098039216,0.12745098039215685,0.17647058823529413,0.11764705882352941,0.17647058823529413,1.0555555555555556
gfs_15,chicago,0,0,158400.0,13200.0,183979.98648586354,15010.646273034235,5754.0,1107.0,90.0,126861.0,11493.0,781.0,13200.0,12659.289060972867,71.0,13200.0,15092.078118042296,97.0,13200.0,13408.061901027288,98.0,13200.0,11788.036215957025,81.0,0.08333333333333333,0.08158847361469726,0.08130081300813008,0.8008901515151515,0.06413730803974707,0.08762420957542909,0.08852755194218609,0.07317073170731707,0.08852755194218609,0.9183673469387755
gfs_15,chicago,0,6,158400.0,13200.0,177113.1209249444,13903.752212979138,4731.0,1089.0,164.0,154440.0,9309.0,1064.0,13200.0,7969.8560209927855,60.0,13200.0,10769.670378950974,110.0,13200.0,25922.01256695023,202.0,13200.0,20317.618350005047,138.0,0.08333333333333333,0.07850210159681596,0.15059687786960516,0.975,0.05509641873278237,0.10101010101010101,0.1854912764003673,0.12672176308539945,0.1854912764003673,0.8118811881188119
gfs_15,chicago,0,12,158400.0,13200.0,339841.27889407286,20796.127636987923,9140.0,3527.0,114.0,154440.0,14894.0,713.0,13200.0,32803.53777500253,288.0,13200.0,17477.59131598161,132.0,13200.0,27078.862962927906,132.0,13200.0,42355.09010493199,267.0,0.08333333333333333,0.06119364811909736,0.03232208675928551,0.975,0.0816557981287213,0.037425574142330595,0.037425574142330595,0.0757017295151687,0.0816557981287213,0.39583333333333326
gfs_15,chicago,0,18,158400.0,13200.0,95866.36325306595,3169.6663490050773,955.0,97.0,1.0,154440.0,1946.0,84.0,13200.0,6285.336641151225,10.0,13200.0,4114.026039002875,1.0,13200.0,4709.8165890112305,1.0,13200.0,6715.77271115958,10.0,0.08333333333333333,0.03306338366709354,0.010309278350515464,0.975,0.10309278350515463,0.010309278350515464,0.010309278350515464,0.10309278350515463,0.10309278350515463,0.1
gfs_15,chicago,1,0,154440.0,12870.0,72486.35709500025,4985.934259929592,2336.0,405.0,19.0,0.0,5686.0,428.0,12870.0,4886.439674038104,38.0,12870.0,5458.999274940552,22.0,12870.0,4435.204512930715,9.0,12870.0,3849.307913028269,25.0,0.08333333333333333,0.06878445075388535,0.04691358024691358,0.0,0.09382716049382717,0.05432098765432099,0.022222222222222223,0.06172839506172839,0.09382716049382717,0.5
gfs_15,chicago,1,6,154440.0,12870.0,61322.88600471841,2784.2338580067594,1477.0,200.0,4.0,0.0,3906.0,245.0,12870.0,5518.454711004447,8.0,12870.0,3615.176315005259,3.0,12870.0,2879.0694090084066,2.0,12870.0,4999.115221015375,7.0,0.08333333333333333,0.04540285103007921,0.02,0.0,0.04,0.015,0.01,0.035,0.04,0.5
gfs_15,chicago,1,12,156407.0,13200.0,64089.51788007106,2289.3791059845985,1858.0,303.0,10.0,0.0,4781.0,211.0,13200.0,3438.3996699426916,6.0,13200.0,2925.1812929752186,13.0,13200.0,4119.9094770235515,5.0,13200.0,4397.863879000681,0.0,0.08439519970333809,0.03572158414841956,0.033003300330033,0.0,0.019801980198019802,0.0429042904290429,0.0165016501650165,0.0,0.0429042904290429,0.7692307692307692
gfs_15,chicago,1,18,158400.0,13200.0,65487.03298191062,4327.859455956831,2122.0,290.0,6.0,0.0,5379.0,383.0,13200.0,7632.001659961997,20.0,13200.0,3339.5631870311545,7.0,13200.0,4049.96994896092,8.0,13200.0,8357.098921943365,22.0,0.08333333333333333,0.06608727344774207,0.020689655172413793,0.0,0.06896551724137931,0.02413793103448276,0.027586206896551724,0.07586206896551724,0.07586206896551724,0.2727272727272727
gfs_15,chicago,2,0,51832.0,7590.0,902.1274609989305,36.908700000746094,47.0,16.0,3.0,0.0,140.0,10.0,7590.0,152.58299099968363,5.0,7590.0,38.758700000746096,4.0,7590.0,57.025324999750445,1.0,7590.0,159.57961599868798,1.0,0.1464346349745331,0.04091295476126721,0.1875,0.0,0.3125,0.25,0.0625,0.0625,0.3125,0.6
gfs_15,chicago,2,6,92488.0,7920.0,5218.061366983176,287.84207800021113,259.0,72.0,7.0,0.0,712.0,63.0,7920.0,381.58499299165175,13.0,7920.0,160.28219700032497,5.0,7920.0,551.8312689997207,12.0,7920.0,658.4873689910925,19.0,0.08563273073263558,0.055162647151201886,0.09722222222222222,0.0,0.18055555555555555,0.06944444444444445,0.16666666666666666,0.2638888888888889,0.2638888888888889,0.3684210526315789
gfs_15,chicago,2,12,99000.0,8250.0,13239.315359005765,823.4884480010994,362.0,74.0,6.0,0.0,1005.0,59.0,8250.0,953.1527579936811,12.0,8250.0,848.0050239954795,10.0,8250.0,776.8494779972051,2.0,8250.0,856.447207994543,4.0,0.08333333333333333,0.06220022906554143,0.08108108108108109,0.0,0.16216216216216217,0.13513513513513514,0.02702702702702703,0.05405405405405406,0.16216216216216217,0.5
gfs_15,chicago,2,18,131296.0,12540.0,23606.150187010473,1988.7083889970343,657.0,111.0,1.0,0.0,2024.0,96.0,12540.0,2520.4076830332856,8.0,12540.0,1141.4133749981738,2.0,12540.0,1674.069707993082,1.0,12540.0,2433.385096023439,7.0,0.09550938337801608,0.08424535018384072,0.009009009009009009,0.0,0.07207207207207207,0.018018018018018018,0.009009009009009009,0.06306306306306306,0.07207207207207207,0.125
gfs_15,dallas,0,0,158400.0,13200.0,161433.99515804191,14123.242805971975,5593.0,990.0,145.0,123331.0,11508.0,808.0,13200.0,11903.729295967458,70.0,13200.0,14496.126422987953,155.0,13200.0,15151.769784007663,144.0,13200.0,12491.75077098369,61.0,0.08333333333333333,0.08748617533838206,0.14646464646464646,0.778604797979798,0.0707070707070707,0.15656565656565657,0.14545454545454545,0.06161616161616162,0.15656565656565657,0.9354838709677419
