market,hour,change_native,count,requested_date_hours,reports_per_requested_date_hour
houston,11,unknown,0,114,0.0
houston,12,lt1,12,114,0.10526315789473684
houston,12,1to2,8,114,0.07017543859649122
houston,12,2to4,2,114,0.017543859649122806
houston,12,ge4,0,114,0.0
houston,12,unknown,0,114,0.0
houston,13,lt1,15,114,0.13157894736842105
houston,13,1to2,5,114,0.043859649122807015
houston,13,2to4,2,114,0.017543859649122806
houston,13,ge4,6,114,0.05263157894736842
houston,13,unknown,0,114,0.0
houston,14,lt1,9,114,0.07894736842105263
houston,14,1to2,7,114,0.06140350877192982
houston,14,2to4,4,114,0.03508771929824561
houston,14,ge4,3,114,0.02631578947368421
houston,14,unknown,0,114,0.0
houston,15,lt1,5,114,0.043859649122807015
houston,15,1to2,5,114,0.043859649122807015
houston,15,2to4,2,114,0.017543859649122806
